所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段,关键词,用例状态,备注
收费退费,重复收费被阻止,处方已收费,1. 对已收费处方再次收费,提示“仅待收费状态的处方可以收费”,P1,功能测试,系统测试,状态机,正常,
收费退费,已收费处方退费成功,存在已收费处方,1. 点击“退费”并确认,提示“退费成功”，处方变已退费，生成退费记录（含原因/操作员/时间），库存恢复,P1,功能测试,系统测试,退费,正常,
收费退费,待收费处方不能退费,处方待收费,1. 对待收费处方尝试退费,界面不提供退费按钮；提交也提示“仅已收费状态的处方可以退费”,P1,功能测试,系统测试,状态机,正常,
收费退费,支付方式记录正确,完成一笔收费,1. 使用医保收费并核对记录,pay_method=医保,P3,功能测试,系统测试,记录,正常,
收费退费,退号联动退挂号费,完成退号,1. 退号后查看收费记录,挂号费记录状态变已退费，含退费时间,P2,功能测试,系统测试,联动,正常,
收费退费,收费日报净收入,存在收费与退费,1. 打开报表-收费日报,净收入=收费金额-退费金额,P2,功能测试,系统测试,报表,正常,
报表与导出,今日挂号统计正确,有今日挂号,1. 打开报表-今日挂号统计,各科室挂号数、挂号费与数据库一致,P2,功能测试,系统测试,报表,正常,
报表与导出,医生工作量统计正确,有处方数据,1. 打开报表-医生工作量,处方数与金额与数据库一致,P2,功能测试,系统测试,报表,正常,
报表与导出,CSV 导出成功,已登录,1. 报表页点击导出（患者/挂号/处方/收费/药品）,下载 CSV 文件，编码 UTF-8 带 BOM，Excel 打开中文正常,P2,功能测试,系统测试,导出,正常,
报表与导出,空数据报表显示,数据库无某类数据（可临时过滤）,1. 查看无数据报表,显示“暂无数据”提示，不报错,P3,功能测试,系统测试,空态,正常,
数据一致性,挂号、退号后号源守恒,有排班与挂号,1. 挂号+1 笔再退号 / 2. 核对排班 registered_count,退号后已挂号数恢复原值,P1,功能测试,系统测试,一致性,正常,
数据一致性,收费退费后库存守恒,有药品库存,1. 收费扣库存、退费恢复 / 2. 核对 stock_quantity,退费后库存恢复原值,P1,功能测试,系统测试,一致性,正常,
数据一致性,操作日志自动记录,执行挂号/收费/退号/退费/建档,1. 查看 operation_logs,每次业务操作均有对应日志（触发器自动写入）,P2,功能测试,系统测试,日志,正常,
